iter	Logloss
434	0.2134398252
435	0.213302341
436	0.2132297411
437	0.2127601486
438	0.2125351138
439	0.212413218
440	0.2120938172
441	0.2116762924
442	0.2113346883
443	0.2111733058
444	0.2111050848
445	0.211037521
446	0.2105739415
447	0.210147363
448	0.209855261
449	0.2096258034
450	0.2095611565
451	0.2094970171
452	0.2091918771
453	0.2089244011
454	0.2085805238
455	0.2085186358
456	0.2084573069
457	0.2083488325
458	0.2080927717
459	0.208006419
460	0.2077486309
461	0.2074736309
462	0.2071484442
463	0.2067900189
464	0.2067319802
465	0.2066743806
466	0.2063789854
467	0.2060755048
468	0.2057437262
469	0.2054369386
470	0.2053823129
471	0.2052789662
472	0.2049935019
473	0.2045738294
474	0.2044244221
475	0.2043188528
476	0.2042088806
477	0.2037707213
478	0.2033773478
479	0.2030085738
480	0.2027710712
481	0.2025145315
482	0.202263661
483	0.2022143014
484	0.2019811169
485	0.2017228388
486	0.2014541202
487	0.2010614654
488	0.2006062851
489	0.2004612889
490	0.2002765806
491	0.1999437802
492	0.1995841697
493	0.1995386067
494	0.1992406751
495	0.1989725739
496	0.1987619297
497	0.198424994
498	0.1982064703
499	0.1980325623
500	0.19788404
501	0.1975615361
502	0.1972335289
503	0.1971912702
504	0.1971523399
505	0.1966815552
506	0.196482661
507	0.1963109666
508	0.1959914264
509	0.1956733835
510	0.1955443573
511	0.1952755246
512	0.1949041927
513	0.1945565382
514	0.1945137961
515	0.1942882861
516	0.1939087159
517	0.1936265859
518	0.1935459715
519	0.193353029
520	0.1930822704
521	0.1928418477
522	0.1926968266
523	0.1924404972
524	0.1924051329
525	0.1923700122
526	0.1921652546
527	0.1920049173
528	0.191657906
529	0.1913557784
530	0.1911227863
531	0.1907786573
532	0.1907452225
533	0.1904989425
534	0.1901660042
535	0.189921267
536	0.1897166761
537	0.1895209776
538	0.1891902863
539	0.1889710817
540	0.1889400829
541	0.1887674015
542	0.188474986
543	0.1883644632
544	0.1880623243
545	0.1877586633
546	0.1875930831
547	0.1875639649
548	0.1874751789
549	0.1873540798
550	0.187110233
551	0.1867298422
552	0.1864285144
553	0.1862442661
554	0.1860146018
555	0.1859872385
556	0.1857008152
557	0.1855679772
558	0.1855410075
559	0.1850345653
560	0.1846619261
561	0.1844905818
562	0.1843674703
563	0.1841898798
564	0.1839507685
565	0.1838451346
566	0.1835515959
567	0.1833537555
568	0.1832753865
569	0.1831669142
570	0.1830006491
571	0.1827203998
572	0.1826939114
573	0.1824745706
574	0.1824527622
575	0.1822879854
576	0.1820778173
577	0.1818224985
578	0.1816775809
579	0.1815403497
580	0.1813231088
581	0.1812783485
582	0.1810609922
583	0.1809259243
584	0.1807066009
585	0.1805983662
586	0.180438098
587	0.1802195988
588	0.1801315686
589	0.1799126587
590	0.1797410337
591	0.1795277771
592	0.1792332299
593	0.1790188044
594	0.1789523901
595	0.1789321764
596	0.1787274934
597	0.1784027953
598	0.1781632582
599	0.1778899799
600	0.1776845045
601	0.1773501355
602	0.1771128866
603	0.1769890678
604	0.1769703288
605	0.1769002487
606	0.1767448302
607	0.1765143217
608	0.1763827706
609	0.1762088289
610	0.1761225141
611	0.1758780955
612	0.1757653997
613	0.1757477587
614	0.175644449
615	0.1755331986
616	0.1755134976
617	0.1752417118
618	0.1749884516
619	0.1745519145
620	0.1744418799
621	0.1742684474
622	0.1739401289
623	0.1739237363
624	0.1738298317
625	0.1734355718
626	0.1732552589
627	0.1731342402
628	0.173016278
629	0.173000633
630	0.1729553161
631	0.1728070595
632	0.1727289672
633	0.1726943606
634	0.1725885623
635	0.1724591282
636	0.1722934473
637	0.172115651
638	0.1717792464
639	0.1716646586
640	0.1715648281
641	0.1715503244
642	0.1715359261
643	0.1714171988
644	0.1713542994
645	0.1713249526
646	0.1712079489
647	0.1709949844
648	0.1708435417
649	0.1707885815
650	0.1707308214
651	0.1706572768
652	0.1705262113
653	0.1704696502
654	0.1702870427
655	0.1700449808
656	0.1699046002
657	0.1698914869
658	0.1698054231
659	0.1696280113
660	0.1694500118
661	0.1693368286
662	0.1691877447
663	0.1689809686
664	0.168729946
665	0.1685681472
666	0.1683609131
667	0.1681852637
668	0.1681732189
669	0.167997476
670	0.1677843767
671	0.1677211351
672	0.167501498
673	0.1673278635
674	0.1670916747
675	0.1668915952
676	0.1666878305
677	0.1665729588
678	0.166460394
679	0.1662964772
680	0.1662855073
681	0.166218713
682	0.1661248644
683	0.1659093327
684	0.1658644285
685	0.1658177284
686	0.165647686
687	0.165377582
688	0.1653511963
689	0.1652448877
690	0.1651287443
691	0.165086525
692	0.1649218455
693	0.164750772
694	0.1647408541
695	0.164713985
696	0.1645641239
697	0.1645543962
698	0.1645229824
699	0.1645133574
700	0.1643606631
701	0.1642285369
702	0.1639531459
703	0.1639436907
704	0.1639339927
705	0.1637918702
706	0.1637413152
707	0.1635113014
708	0.1633962952
709	0.1633697658
710	0.1631940072
711	0.163091608
712	0.1630827143
713	0.1628904684
714	0.1627466354
715	0.1627034987
716	0.162552976
717	0.1624910879
718	0.1623513114
719	0.1622416161
720	0.1620556985
721	0.161957516
722	0.1618381114
723	0.1617459505
724	0.1614927618
725	0.1614510397
726	0.1613948218
727	0.1613837032
728	0.1612750751
729	0.1611055415
730	0.1610503638
731	0.1609506663
732	0.160879246
733	0.1607106514
734	0.1606663373
735	0.1606299983
736	0.160414741
737	0.1604035091
738	0.1603304995
739	0.1602938427
740	0.1602433909
741	0.1602360206
742	0.1601050033
743	0.1599415126
744	0.1597832174
745	0.1596216092
746	0.1595755664
747	0.1593778895
748	0.1592332934
749	0.1590061309
750	0.1588946769
751	0.1588106966
752	0.15864167
753	0.1586255432
754	0.1586156188
755	0.1585405712
756	0.1583230232
757	0.1580087314
758	0.1579023507
759	0.1577307457
760	0.1576781526
761	0.1575342711
762	0.1574112675
763	0.1570942974
764	0.1569648613
765	0.156806612
766	0.1566091668
767	0.1565709722
768	0.1564812605
769	0.1563633654
770	0.1562523472
771	0.1562205135
772	0.1560995441
773	0.1559537202
774	0.1558987086
775	0.1558532399
776	0.1556839227
777	0.1555894273
778	0.1554819863
779	0.1554761067
780	0.1554078218
781	0.1554020418
782	0.1552213457
783	0.154973446
784	0.1548767282
785	0.154762783
786	0.1546053947
787	0.1544625302
788	0.1542878032
789	0.1542517431
790	0.1542036456
791	0.1541371111
792	0.1540786302
793	0.1539835805
794	0.1537294945
795	0.1534720326
796	0.1533017475
797	0.1532251436
798	0.1532093742
799	0.1531379838
800	0.1530252829
801	0.1529424633
802	0.1528242166
803	0.1527643181
804	0.1526451928
805	0.1526127924
806	0.1524534109
807	0.1524409198
808	0.1523041662
809	0.1521876769
810	0.1521828262
811	0.152137747
812	0.1519822223
813	0.1516813284
814	0.1516389206
815	0.1515779641
816	0.1515023513
817	0.1514230163
818	0.1511118283
819	0.1511016032
820	0.1508536746
821	0.1506265831
822	0.1504812333
823	0.1504742851
824	0.1503676737
825	0.1503296969
826	0.1501880655
827	0.150086112
828	0.1500690103
829	0.1499460906
830	0.149940805
831	0.1496912962
832	0.1496120332
833	0.1496078233
834	0.1494802002
835	0.1493165051
836	0.1493098252
837	0.1493056777
838	0.1491629142
839	0.149039506
840	0.1488834254
841	0.1487653695
842	0.1487614472
843	0.1487115159
844	0.1486756229
845	0.1486691714
846	0.148622276
847	0.1485999381
848	0.1484875288
849	0.148449949
850	0.1484460848
851	0.1483197228
852	0.1481778873
853	0.1480782769
854	0.1479640685
855	0.1478176527
856	0.1478042464
857	0.1477363862
858	0.1476336587
859	0.1475530417
860	0.1474139914
861	0.1472794802
862	0.1471234117
863	0.1470265591
864	0.1468233888
865	0.1467544863
866	0.1466737247
867	0.1466068932
868	0.1465769385
869	0.1464484482
870	0.1463737556
871	0.1462300248
872	0.1460196881
873	0.1457543755
874	0.1456698325
875	0.1453881402
876	0.1452425434
877	0.1451607324
878	0.1450842152
879	0.1450809342
880	0.1449669999
881	0.1448975821
882	0.1448943332
883	0.1447688383
884	0.1445666592
885	0.144396712
886	0.1441948266
887	0.1440983882
888	0.1440088169
889	0.1438975198
890	0.1438707223
891	0.1438661559
892	0.1438175211
893	0.1436870731
894	0.1435993059
895	0.1435248131
896	0.1433238972
897	0.1432407283
898	0.1432042329
899	0.1431960901
900	0.1430617858
901	0.1428591089
902	0.1428110297
903	0.1427892971
904	0.1426150079
905	0.1425746234
906	0.1423923192
907	0.1421765892
908	0.1420635906
909	0.1419592404
910	0.1417854911
911	0.1417826731
912	0.1416696974
913	0.1416618509
914	0.1414923275
915	0.1414076924
916	0.1413061674
917	0.1411489571
918	0.1411318107
919	0.1409083918
920	0.1408212985
921	0.1407808361
922	0.1407278754
923	0.1406129049
924	0.1406102848
925	0.1406076972
926	0.1405386046
927	0.1404558135
928	0.1402803994
929	0.1402097611
930	0.1401158793
931	0.1400535015
932	0.1399776264
933	0.1398512598
934	0.1397132084
935	0.139562999
936	0.1394592319
937	0.1393849319
938	0.1393084324
939	0.1391885361
940	0.1390314494
941	0.1389424093
942	0.1388945609
943	0.1388599448
944	0.1387638383
945	0.1386892769
946	0.1386386969
947	0.1385461537
948	0.1384876465
949	0.1384012497
950	0.1381671777
951	0.1380551738
952	0.1378763459
953	0.1378741112
954	0.1376944859
955	0.1376047703
956	0.1375343835
957	0.1375190678
958	0.1374131076
959	0.1372662127
960	0.1371806053
961	0.1370121257
962	0.1368326399
963	0.1367289357
964	0.1365347857
965	0.1364366963
966	0.1362434692
967	0.1362258338
968	0.1361154191
969	0.1360996276
970	0.1360134543
971	0.1360040668
972	0.13600206
973	0.136000065
974	0.1359815629
975	0.1357808585
976	0.1357776244
977	0.1357073087
978	0.1355799326
979	0.1355036306
980	0.135390052
981	0.1353010548
982	0.1352650232
983	0.1352470721
984	0.1350775215
985	0.1350756341
986	0.1350063787
987	0.1349824146
988	0.1348575343
989	0.134680968
990	0.1346791078
991	0.1344789376
992	0.1343670941
993	0.1342218213
994	0.1340610489
995	0.1340195189
996	0.1339622523
997	0.1339368087
998	0.1338064378
999	0.1337379409
